Id_Rubro,RUBRO,VALOR
110,"FABRICA DE PROTEINAS ANIMALES",25200.0000
111,"FABRICA DE QUESOS",48450.0000
112,"FABRICA DE SANDWICH",7950.0000
113,"FABRICA DE SODA",7950.0000
114,"FABRICA DE SOJA EN POLVO",25200.0000
115,"FABRICA DE SUERO EN POLVO",25200.0000
116,"FABRICA DE SUPLEMENTO DIETARIO",36150.0000
117,"FABRICA DE VINAGRE",25200.0000
118,"FABRICA PRODUCTOS ORIGEN ANIMAL (CHACINADOS)",48450.0000
119,"FABRICAS DE BEBIDAS ANALCOHOLICAS Y GASIFICADAS",36150.0000
120,"FARMACIA CON ANEXO VENTA",4050.0000
121,"FIAMBRERIA",7950.0000
122,"FRACCIONAMIENTO DE ACEITE COMESTIBLE",12150.0000
123,"FRACCIONAMIENTO DE ADITIVOS",12150.0000
124,"FRACCIONAMIENTO DE ARROZ",12150.0000
125,"FRACCIONAMIENTO DE AZUCAR",12150.0000
126,"FRACCIONAMIENTO DE CARAMELOS, GOLOSINAS",12150.0000
127,"FRACCIONAMIENTO DE CERVEZA",25200.0000
128,"FRACCIONAMIENTO DE DERIVADOS DEL ALMIDON DE MAIZ",12150.0000
129,"FRACCIONAMIENTO DE ENCURTIDOS",2100.0000
130,"FRACCIONAMIENTO DE ESPECIAS",12150.0000
131,"FRACCIONAMIENTO DE FRUTAS DESECADAS",12150.0000
132,"FRACCIONAMIENTO DE FRUTAS SECAS",12150.0000
133,"FRACCIONAMIENTO DE HARINAS",12150.0000
134,"FRACCIONAMIENTO DE JUGOS",25200.0000
135,"FRACCIONAMIENTO DE LECITINA DE SOJA",12150.0000
136,"FRACCIONAMIENTO DE LEGUMBRES",12150.0000
137,"FRACCIONAMIENTO DE LEVADURA DE CERVEZA EN POLVO",12150.0000
138,"FRACCIONAMIENTO DE MERMELADAS",12150.0000
139,"FRACCIONAMIENTO DE MIEL",12150.0000
140,"FRACCIONAMIENTO DE POLEN",12150.0000
141,"FRACCIONAMIENTO DE POLVOS PARA POSTRES Y HELADOS",12150.0000
142,"FRACCIONAMIENTO DE PRODUCTOS DIETARIOS",25200.0000
143,"FRACCIONAMIENTO DE PRODUCTOS PARA COPETIN",12150.0000
144,"FRACCIONAMIENTO DE SAL",12150.0000
145,"FRACCIONAMIENTO DE SEMILLAS",12150.0000
146,"FRACCIONAMIENTO DE TE",1200.0000
147,"FRACCIONAMIENTO DE VINOS Y BEBIDAS ALCOHOLICAS",25200.0000
148,"FRACCIONAMIENTO Y ELABORACION PRODUCTOS NATURALES",36150.0000
149,"INDUSTRIALIZACION HUEVOS COMESTIBLES",48450.0000
150,"INDUSTRIALIZACION HUEVOS INCOMESTIBLES",48450.0000
151,"INGENIOS AZUCAREROS",48450.0000
152,"KIOSCO",4050.0000
153,"MATADERO DE ANTILOPES",48450.0000
154,"MATADERO DE AVES",48450.0000
155,"MATADERO DE BOVINOS",48450.0000
156,"MATADERO DE BOVINOS (TIPO B)",48450.0000
157,"MATADERO DE BOVINOS (TIPO C)",48450.0000
158,"MATADERO DE BOVINOS (TIPO RURAL)",48450.0000
159,"MATADERO DE CABRITOS",48450.0000
160,"MATADERO DE CIERVOS",48450.0000
161,"MATADERO DE EQUINOS",48450.0000
162,"MATADERO DE JABALIES",48450.0000
163,"MATADERO DE LECHONES",48450.0000
164,"MATADERO DE LIEBRES",48450.0000
165,"MATADERO DE NUTRIAS - CONEJOS",48450.0000
166,"MATADERO DE OVINOS",48450.0000
167,"MATADERO DE PEQUEÑAS ESPECIES",48450.0000
168,"MATADERO DE PORCINOS (EXCEPTO LECHON)",48450.0000
169,"MATADERO DE PORCINOS (TIPO A SENASA)",48450.0000
170,"MATADERO DE PORCINOS (TIPO B)",48450.0000
171,"MATADERO DE PORCINOS (TIPO C)",48450.0000
172,"MATADERO DE VIZCACHAS",48450.0000
173,"MINUTAS",7950.0000
174,"MOLINO YERBATERO",36150.0000
175,"MOLINOS ARROCEROS",48450.0000
176,"MOLINOS HARINEROS",48450.0000
177,"MONDONGUERIA",25200.0000
178,"PANADERIA",12150.0000
179,"PANQUEQUERIA",7950.0000
180,"PARRILLADA",7950.0000
181,"PIZZERIA",7950.0000
182,"PLANTA COLECTORA DE LECHE",7950.0000
183,"PLANTA ENFRIADORA",25200.0000
184,"PROCESADO DE FRUTAS Y VERDURAS",12150.0000
185,"PROCESADO DE PRODUCTOS DE LA PESCA",48450.0000
186,"PROCESADO TRIPAS BOVINAS, PORCINAS, EQUINAS, OVINAS P/EMBUTIR",48450.0000
187,"PROCESAMIENTO DE LEGUMBRES",12150.0000
188,"REFINERIA DE SAL",12150.0000
189,"REMATE DE CARNE",48450.0000
190,"REPARTO DE ACEITE",4050.0000
191,"REPARTO DE ARTICULOS DE COPETIN",4050.0000
192,"REPARTO DE AVES, EVISCERADOS",4050.0000
193,"REPARTO DE BEBIDAS ENVASADAS",4050.0000
194,"REPARTO DE CAFÉ,.TES Y ESPECIAS",4050.0000
195,"REPARTO DE CARNE Y DERTIVADOS",4050.0000
196,"REPARTO DE FRUTAS, VERDURAS Y HORTALIZAS",4050.0000
197,"REPARTO DE GOLOSINAS Y/O GALLETITAS",4050.0000
198,"REPARTO DE HARINAS",4050.0000
199,"REPARTO DE HELADOS",4050.0000
200,"REPARTO DE HUEVOS",4050.0000
201,"REPARTO DE LACTEOS Y FIAMBRES",4050.0000
202,"REPARTO DE LECHE FLUIDA",4050.0000
203,"REPARTO DE PAN Y PRODUCTOS DE PANIFICACION",4050.0000
204,"REPARTO DE PASTAS FRESCAS",4050.0000
205,"REPARTO DE PESCADO",4050.0000
206,"REPARTO DE PRODUCTOS DE ALMACEN",4050.0000
207,"REPARTO DE PRODUCTOS LACTEOS",4050.0000
208,"REPARTO DE SUSTANCIAS ALIMENTICIAS",4050.0000
209,"RESTAURANT",9900.0000
210,"ROTISERIA",9900.0000
211,"SANDWICHERIA",9900.0000
212,"SERVICIO DE LUNCH",9900.0000
213,"SERVICIOS DE COMIDA A TERCEROS",12150.0000
214,"SUC. DE VENTAS DE ART. DE PANIFICACION Y CONFITERIA",7050.0000
215,"SUPERMERCADO",36150.0000
216,"TOSTADERO DE CAFÉ",36150.0000
217,"TOSTADERO Y FRACCIONAMIENTO DE MANI",25200.0000
218,"TOSTADERO Y FRACCIONAMIENTO DE SEMILLAS DE GIRASOL",25200.0000
219,"TRANSPORTE DE ACEITE",9900.0000
220,"TRANSPORTE DE ARTICULOS DE COPETIN",9900.0000
221,"TRANSPORTE DE AVES - EVISCERADOS",9900.0000
222,"TRANSPORTE DE BEBIDAS ENVASADAS",9900.0000
223,"TRANSPORTE DE CAFES, TES Y ESPECIAS",9900.0000
224,"TRANSPORTE DE CARNE Y DERIVADOS",9900.0000
225,"TRANSPORTE DE FRUTAS, VERDURAS Y HORTALIZAS",9900.0000
226,"TRANSPORTE DE GALLETITAS Y/O GOLOSINAS",9900.0000
227,"TRANSPORTE DE HARINAS",9900.0000
228,"TRANSPORTE DE HELADOS",9900.0000
229,"TRANSPORTE DE HUEVOS",9900.0000
230,"TRANSPORTE DE LACTEOS Y FIAMBRES",9900.0000
231,"TRANSPORTE DE LECHE FLUIDA",9900.0000
232,"TRANSPORTE DE PAN Y PRODUCTOS PANIFICACION",9900.0000
233,"TRANSPORTE DE PASTAS FRESCAS",9900.0000
234,"TRANSPORTE DE PESCADO",9900.0000
235,"TRANSPORTE DE PRODUCTOS DE ALMACEN",9900.0000
